"pred_type","pred_comm_name","pred_species","ocean","region","area","reference","prey_species","prey_comm_name","n_data","years","season","year1","month1","month_name1","year2","month2","month_name2","method_length","method_diet","comment","n_samples","pred_stage1","pred_stage2","prey_mm_min","prey_mm_max","prey_mm_range","prey_mm_med","prey_mm_avg","prey_mm_sd","prop_diet_by_wt","prop_diet_by_wt_type","prop_diet_by_n","prop_diet_by_energy","prop_diet_by_occur","prop_diet_by_occur_sd","prop_diet_by_index"
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Scomber japonicus","Pacific chub mackerel","YES","2005","Mar-Apr",2005,3,"Mar",2005,4,"Apr",NA,"fecal samples",NA,NA,"juvenile","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Scomber japonicus","Pacific chub mackerel","YES","2006","Feb-Jul",2006,2,"Feb",2006,7,"Jul",NA,"fecal samples",NA,NA,"juvenile","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Scomber japonicus","Pacific chub mackerel","YES","2002-2006",NA,2002,NA,NA,2006,NA,NA,NA,"fecal samples",NA,NA,"juvenile","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Scomber japonicus","Pacific chub mackerel","YES","2002","Jul",2002,7,"Jul",2002,7,"Jul",NA,"fecal samples",NA,NA,"juvenile","juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Scomber japonicus","Pacific chub mackerel","YES","2003","Mar-Oct",2003,3,"Mar",2003,10,"Oct",NA,"fecal samples",NA,NA,"adult","adult-juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Scomber japonicus","Pacific chub mackerel","YES","2004","Mar",2004,3,"Mar",2004,3,"Mar",NA,"fecal samples",NA,NA,"adult","adult-juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Scomber japonicus","Pacific chub mackerel","YES","2005","Mar-Apr",2005,3,"Mar",2005,4,"Apr",NA,"fecal samples",NA,NA,"adult","adult-juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Scomber japonicus","Pacific chub mackerel","YES","2006","Feb-Jul",2006,2,"Feb",2006,7,"Jul",NA,"fecal samples",NA,NA,"adult","adult-juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","CA","Orr et al. 2011","Scomber japonicus","Pacific chub mackerel","YES","2002-2006",NA,2002,NA,NA,2006,NA,NA,NA,"fecal samples",NA,NA,"adult","adult-juvenile",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","San Clemente Island","Lowry and Carreta 1999","Scomber japonicus","Pacific chub mackerel","YES","1981-1995",NA,1981,NA,NA,1995,NA,NA,NA,"scat and spewing samples",NA,2543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.3,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","San Nicolas Island","Lowry and Carreta 1999","Scomber japonicus","Pacific chub mackerel","YES","1981-1995",NA,1981,NA,NA,1995,NA,NA,NA,"scat and spewing samples",NA,2980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","California","Sta Barbara Island","Lowry and Carreta 1999","Scomber japonicus","Pacific chub mackerel","YES","1981-1995",NA,1981,NA,NA,1995,NA,NA,NA,"scat and spewing samples",NA,736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA
"pinnipeds","Pacific harbor seal","Phoca vitulina richardsi","NE Pacific","Oregon","Umpqua River","Orr et al. 2014","Scomber japonicus","Pacific chub mackerel","YES","1997","Sep-Nov",1997,9,"Sep",1997,11,"Nov",NA,"scat samples",NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,1.4,NA
"pinnipeds","Pacific harbor seal","Phoca vitulina richardsi","NE Pacific","Oregon","Umpqua River","Orr et al. 2014","Scomber japonicus","Pacific chub mackerel","YES","1998","Mar-Jun",1998,3,"Mar",1998,6,"Jun",NA,"scat samples",NA,254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,4,NA
"pinnipeds","Pacific harbor seal","Phoca vitulina richardsi","NE Pacific","Oregon","Umpqua River","Orr et al. 2014","Scomber japonicus","Pacific chub mackerel","YES","1998","Aug-Oct",1998,8,"Aug",1998,10,"Oct",NA,"scat samples",NA,326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0.1,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Monterrey Bay","Webb 2013","Scomber japonicus","Pacific chub mackerel","YES","2006-2007","Sep-Mar",2006,9,"Sep",2007,3,"Mar",NA,"pellets sampling","authors found difference in iet within and outcoast the Bay",67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1.5,NA,NA
"sea birds","Brandt cormorant","Phalacrocorax penicillatus","NE Pacific","California","Monterrey Bay","Webb 2013","Scomber japonicus","Pacific chub mackerel","YES","2007-2008","Sep-Mar",2007,9,"Sep",2008,3,"Mar",NA,"pellets sampling","authors found difference in iet within and outcoast the Bay",162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,2.5,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","1993",NA,1993,NA,NA,1993,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","1993",NA,1993,NA,NA,1993,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","1994",NA,1994,NA,NA,1994,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.71,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","1995",NA,1995,NA,NA,1995,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","1996",NA,1996,NA,NA,1996,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","1997",NA,1997,NA,NA,1997,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.44,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","1998",NA,1998,NA,NA,1998,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","1999",NA,1999,NA,NA,1999,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","2000",NA,2000,NA,NA,2000,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","2001",NA,2001,NA,NA,2001,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","2002",NA,2002,NA,NA,2002,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","2004",NA,2004,NA,NA,2004,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.87,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","2007",NA,2007,NA,NA,2007,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","2008",NA,2008,NA,NA,2008,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","2009",NA,2009,NA,NA,2009,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","2010",NA,2010,NA,NA,2010,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","2011",NA,2011,NA,NA,2011,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","2012",NA,2012,NA,NA,2012,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Elegant tern","Thalasseus elegans","NE Pacific","California","Los Angeles Harbor/Bolsa Chica/South Bay Salt Works","Horn and Whitcombe 2015","Scomber japonicus","Pacific chub mackerel","YES","2013",NA,2013,NA,NA,2013,NA,NA,NA,"fish dropped by the birds during prey deliveries or transfers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Scomber japonicus","Pacific chub mackerel","YES","1995-1997","Apr-May",1995,4,"Apr",1997,5,"May","otolith length_standard length regressions","stomach sampling",NA,893,NA,NA,60,125,"60-125",NA,92.5,45.9,0.45,NA,0.14,NA,0.67,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Scomber japonicus","Pacific chub mackerel","YES","1995","May",1995,5,"May",1995,5,"May",NA,"stomach sampling",NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Scomber japonicus","Pacific chub mackerel","YES","1995","Oct",1995,10,"Oct",1995,10,"Oct",NA,"stomach sampling",NA,88,NA,"totallengthmean153.1cm_sd21.3cm",NA,NA,NA,NA,NA,NA,30,NA,3,NA,NA,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Scomber japonicus","Pacific chub mackerel","YES","1995","Dec",1995,12,"Dec",1995,12,"Dec",NA,"stomach sampling",NA,25,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,4.5,NA,NA,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Scomber japonicus","Pacific chub mackerel","YES","1996","Jun",1996,6,"Jun",1996,6,"Jun",NA,"stomach sampling",NA,43,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","Mexico","Baja California","Markaida and Sosa 2010","Scomber japonicus","Pacific chub mackerel","YES","1996","Sep",1996,9,"Sep",1996,9,"Sep",NA,"stomach sampling",NA,19,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA,19.5,NA,NA,NA,NA
"cartilaginous fishes","Blue shark","Prionace glauca","NE Pacific","CA/OR/WA","CA/OR/WA","Preti et al. 2012","Scomber japonicus","Pacific chub mackerel","YES","2002-2008",NA,2002,NA,NA,2008,NA,NA,NA,"stomach sampling",NA,114,NA,"totallengthrange70-250cm",NA,NA,NA,NA,NA,NA,2.85,NA,0.76,NA,3.51,NA,NA
"cartilaginous fishes","Common thresher shark","Alopias vulpinus","NE Pacific","CA/OR/WA","CA/OR/WA","Preti et al. 2012","Scomber japonicus","Pacific chub mackerel","YES","2002-2008",NA,2002,NA,NA,2008,NA,NA,NA,"stomach sampling",NA,157,NA,"totallengthrange100-230cm",NA,NA,NA,NA,NA,NA,7.84,NA,2.4,NA,12.74,NA,NA
"cartilaginous fishes","Common thresher shark","Alopias vulpinus","NE Pacific","CA/OR","CA/OR","Preti et al. 2004","Scomber japonicus","Pacific chub mackerel","YES","1998-1999","Aug-Jan",1998,8,"Aug",1999,1,"Jan",NA,"stomach sampling","Warm-water period",107,NA,NA,NA,NA,NA,NA,NA,NA,24.7,NA,1.42,NA,16.42,NA,NA
"cartilaginous fishes","Common thresher shark","Alopias vulpinus","NE Pacific","CA/OR","CA/OR","Preti et al. 2004","Scomber japonicus","Pacific chub mackerel","YES","1999-2000","Jul-May",1999,7,"Jul",2000,5,"May",NA,"stomach sampling","Cool-water period",67,NA,"totallengthrange70-270cm",NA,NA,NA,NA,NA,NA,1.79,NA,0.31,NA,4.48,NA,NA
"cartilaginous fishes","Shortfin mako shark","Isurus oxyrinchus","NE Pacific","CA/OR/WA","CA/OR/WA","Preti et al. 2012","Scomber japonicus","Pacific chub mackerel","NO","2002-2008",NA,2002,NA,NA,2008,NA,NA,NA,"stomach sampling",NA,238,NA,"totallengthrange50-250cm",NA,NA,NA,NA,NA,NA,4.09,NA,10.58,NA,15.13,NA,NA
"cartilaginous fishes","Smooth hammerhead shark","Sphyrna zygaena","NE Pacific","Mexico","Baja California","Ochoa Diaz 2009","Scomber japonicus","Pacific chub mackerel","NO","2000-2004","Jan-Aug",2000,1,"Jan",2004,8,"Aug",NA,"stomach sampling",NA,NA,"female","female",NA,NA,NA,NA,NA,NA,0.06,NA,1,NA,4.2,NA,NA
"bony fishes","Striped marlin","Kajikia audax","NE Pacific","Mexico","Baja California","Abitia Cardenas 1992","Scomber japonicus","Pacific chub mackerel","YES","1988-1989","May-Dec",1988,5,"May",1989,12,"Dec",NA,"stomach sample",NA,350,NA,"totallengthrange135cm-208cm",NA,NA,NA,NA,NA,NA,25.69,"Vol",14.26,NA,45.43,NA,NA
"bony fishes","Striped marlin","Kajikia audax","NE Pacific","Mexico","Baja California","Abitia Cardenas 1992","Scomber japonicus","Pacific chub mackerel","YES","1988","Nov",1988,11,"Nov",1988,11,"Nov",NA,"stomach sample",NA,92,NA,NA,NA,NA,NA,NA,NA,NA,24.16,"Vol",13.36,NA,52.17,NA,NA
"bony fishes","Striped marlin","Kajikia audax","NE Pacific","Mexico","Baja California","Abitia Cardenas 1992","Scomber japonicus","Pacific chub mackerel","YES","1989","Feb",1989,2,"Feb",1989,2,"Feb",NA,"stomach sample",NA,56,NA,NA,NA,NA,NA,NA,NA,NA,41.91,"Vol",18.63,NA,71.43,NA,NA
"bony fishes","Striped marlin","Kajikia audax","NE Pacific","Mexico","Baja California","Abitia Cardenas 1992","Scomber japonicus","Pacific chub mackerel","YES","1989","May",1989,5,"May",1989,5,"May",NA,"stomach sample",NA,67,NA,NA,NA,NA,NA,NA,NA,NA,26.47,"Vol",17.86,NA,47.76,NA,NA
"bony fishes","Striped marlin","Kajikia audax","NE Pacific","Mexico","Baja California","Abitia Cardenas 1992","Scomber japonicus","Pacific chub mackerel","YES","1989","Nov",1989,11,"Nov",1989,11,"Nov",NA,"stomach sample",NA,35,NA,NA,NA,NA,NA,NA,NA,NA,14.76,"Vol",8.73,NA,45.71,NA,NA
"bony fishes","Indo-pacific blue marlin","Makaira mazara","NE Pacific","Mexico","Baja California","Abitia Cardenas 1992","Scomber japonicus","Pacific chub mackerel","YES","1988","Nov",1988,11,"Nov",1988,11,"Nov",NA,"stomach sample",NA,18,NA,NA,NA,NA,NA,NA,NA,NA,4.18,"Vol",5.21,NA,5.56,NA,NA
"bony fishes","Albacore tuna","Thunnus alalunga","NE Pacific","CA/OR/WA","CA/OR/WA","Pinkas et al. 1971","Scomber japonicus","Pacific chub mackerel","YES","1968","Jul-Nov",1968,7,"Jul",1968,11,"Nov",NA,"stomach sampling",NA,627,NA,"totalforklengthrange522mm_932mm",NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,1,NA,NA
"bony fishes","Pacific hake","Merluccius productus","NE Pacific","OR/WA","OR/WA","Emmett and Krutzikowsky 2008","Scomber japonicus","Pacific chub mackerel","YES","1998","Apr-Aug",1998,4,"Apr",1998,8,"Aug",NA,"stomach sample",NA,1136,NA,"stlength150-680mm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA
"pinnipeds","California sea lion","Zalophus californianus","NE Pacific","Gulf of California","Gulf of California","Garcia-Rodriguez and Aurioles-Gamboa 2004","Sardinops sagax","Pacific sardine","YES","1995-1996","Jun-May",1995,6,"Jun",1996,5,"May",NA,"scat samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,10.34,NA,NA
"cartilaginous fishes","Smooth hammerhead shark","Sphyrna zygaena","NE Pacific","Gulf of California","Gulf of California","Aguilar Castro 2003","Sardinops sagax","Pacific sardine","NO","2001-2002","Jan-Jul",2001,1,"Jan",2002,7,"Jul",NA,"stomach sampling",NA,NA,"juvenile","juvenile-female",NA,NA,NA,NA,NA,NA,1.16,NA,2.64,NA,6.34,NA,NA
"cartilaginous fishes","Smooth hammerhead shark","Sphyrna zygaena","NE Pacific","Gulf of California","Gulf of California","Aguilar Castro 2003","Sardinops sagax","Pacific sardine","NO","2001-2002","Jan-Jul",2001,1,"Jan",2002,7,"Jul",NA,"stomach sampling",NA,NA,"juvenile","juvenile-male",NA,NA,NA,NA,NA,NA,9.22,NA,6.19,NA,11.1,NA,NA
"sea birds","California brown pelican","Pelecanus occidentalis californicus","NE Pacific","Gulf of California","Gulf of California","Velarde et al. 2015","Sardinops sagax","Pacific sardine","YES","1992",NA,1992,NA,NA,1992,NA,NA,NA,"regurgitation samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","California brown pelican","Pelecanus occidentalis californicus","NE Pacific","Gulf of California","Gulf of California","Velarde et al. 2015","Sardinops sagax","Pacific sardine","YES","1996",NA,1996,NA,NA,1996,NA,NA,NA,"regurgitation samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA
"sea birds","California brown pelican","Pelecanus occidentalis californicus","NE Pacific","Gulf of California","Gulf of California","Velarde et al. 2015","Sardinops sagax","Pacific sardine","YES","1997",NA,1997,NA,NA,1997,NA,NA,NA,"regurgitation samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,NA,NA,NA
"sea birds","California brown pelican","Pelecanus occidentalis californicus","NE Pacific","Gulf of California","Gulf of California","Velarde et al. 2015","Sardinops sagax","Pacific sardine","YES","2004",NA,2004,NA,NA,2004,NA,NA,NA,"regurgitation samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA
"sea birds","California brown pelican","Pelecanus occidentalis californicus","NE Pacific","Gulf of California","Gulf of California","Velarde et al. 2015","Sardinops sagax","Pacific sardine","YES","2005",NA,2005,NA,NA,2005,NA,NA,NA,"regurgitation samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Heermann gull","Larus heermanni","NE Pacific","Gulf of California","Gulf of California","Velarde et al. 2015","Sardinops sagax","Pacific sardine","NO","1992",NA,1992,NA,NA,1992,NA,NA,NA,"regurgitation samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Heermann gull","Larus heermanni","NE Pacific","Gulf of California","Gulf of California","Velarde et al. 2015","Sardinops sagax","Pacific sardine","NO","1996",NA,1996,NA,NA,1996,NA,NA,NA,"regurgitation samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA
"sea birds","Heermann gull","Larus heermanni","NE Pacific","Gulf of California","Gulf of California","Velarde et al. 2015","Sardinops sagax","Pacific sardine","NO","1997",NA,1997,NA,NA,1997,NA,NA,NA,"regurgitation samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA
"sea birds","Heermann gull","Larus heermanni","NE Pacific","Gulf of California","Gulf of California","Velarde et al. 2015","Sardinops sagax","Pacific sardine","NO","2004",NA,2004,NA,NA,2004,NA,NA,NA,"regurgitation samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"sea birds","Heermann gull","Larus heermanni","NE Pacific","Gulf of California","Gulf of California","Velarde et al. 2015","Sardinops sagax","Pacific sardine","NO","2005",NA,2005,NA,NA,2005,NA,NA,NA,"regurgitation samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"invertebrates","Humboldt squid","Dosidicus gigas","NE Pacific","Gulf of California","Gulf of California","Ehrhardt 1991","Sardinops sagax","Pacific sardine","NO","1980","Mar-Sep",1980,3,"Mar",1980,9,"Sep",NA,"stomach sampling",NA,NA,NA,NA,120,240,"120-240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"invertebrates","Humboldt squid","Dosidicus gigas","NE Pacific","Gulf of California","Gulf of California","Ehrhardt 1991","Sardinops sagax","Pacific sardine","NO","1980","Mar",1980,3,"Mar",1980,3,"Mar",NA,"stomach sampling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"invertebrates","Humboldt squid","Dosidicus gigas","NE Pacific","Gulf of California","Gulf of California","Ehrhardt 1991","Sardinops sagax","Pacific sardine","NO","1980","Apr",1980,4,"Apr",1980,4,"Apr",NA,"stomach sampling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA
"invertebrates","Humboldt squid","Dosidicus gigas","NE Pacific","Gulf of California","Gulf of California","Ehrhardt 1991","Sardinops sagax","Pacific sardine","NO","1980","May",1980,5,"May",1980,5,"May",NA,"stomach sampling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3,NA,NA,NA,NA,NA,NA
"invertebrates","Humboldt squid","Dosidicus gigas","NE Pacific","Gulf of California","Gulf of California","Ehrhardt 1991","Sardinops sagax","Pacific sardine","NO","1980","Jun",1980,6,"Jun",1980,6,"Jun",NA,"stomach sampling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,NA
"invertebrates","Humboldt squid","Dosidicus gigas","NE Pacific","Gulf of California","Gulf of California","Ehrhardt 1991","Sardinops sagax","Pacific sardine","NO","1980","Jul",1980,7,"Jul",1980,7,"Jul",NA,"stomach sampling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA
"invertebrates","Humboldt squid","Dosidicus gigas","NE Pacific","Gulf of California","Gulf of California","Ehrhardt 1991","Sardinops sagax","Pacific sardine","NO","1980","Aug",1980,8,"Aug",1980,8,"Aug",NA,"stomach sampling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA
"invertebrates","Humboldt squid","Dosidicus gigas","NE Pacific","Gulf of California","Gulf of California","Ehrhardt 1991","Sardinops sagax","Pacific sardine","NO","1980","Sep",1980,9,"Sep",1980,9,"Sep",NA,"stomach sampling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA
