"stocklong","region","area","location","pred_comm","pred_species","reference","year","n","n_units","notes"
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",1999,4222.349,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",2000,4666.2935,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",2001,3689.4556,"nests, completed",NA
"Black-legged kittiwake Isle of May (nests, completed)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Frederiksen et al 2004 Figure 1",2002,3709.1448,"nests, completed",NA
"Black-legged kittiwake Isle of May (population size)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Rindorf et al 2000 Figure 5",1986,4709.3022,"population size",NA
"Black-legged kittiwake Isle of May (population size)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Rindorf et al 2000 Figure 5",1987,6697.6743,"population size",NA
"Black-legged kittiwake Isle of May (population size)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Rindorf et al 2000 Figure 5",1988,7604.6514,"population size",NA
"Black-legged kittiwake Isle of May (population size)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Rindorf et al 2000 Figure 5",1989,7569.7676,"population size",NA
"Black-legged kittiwake Isle of May (population size)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Rindorf et al 2000 Figure 5",1990,8127.9067,"population size",NA
"Black-legged kittiwake Isle of May (population size)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Rindorf et al 2000 Figure 5",1991,6488.372,"population size",NA
"Black-legged kittiwake Isle of May (population size)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Rindorf et al 2000 Figure 5",1992,6906.9766,"population size",NA
"Black-legged kittiwake Isle of May (population size)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Rindorf et al 2000 Figure 5",1993,6976.744,"population size",NA
"Black-legged kittiwake Isle of May (population size)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Rindorf et al 2000 Figure 5",1994,3767.442,"population size",NA
"Black-legged kittiwake Isle of May (population size)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Rindorf et al 2000 Figure 5",1995,7604.6514,"population size",NA
"Black-legged kittiwake Isle of May (population size)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Rindorf et al 2000 Figure 5",1996,6244.186,"population size",NA
"Black-legged kittiwake Isle of May (population size)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Rindorf et al 2000 Figure 5",1997,6523.256,"population size",NA
"Black-legged kittiwake Isle of May (population size)","Europe","Scotland","Isle of May","Black-legged kittiwake","Rissa tridactyla","Rindorf et al 2000 Figure 5",1998,4290.6978,"population size",NA
"Black-legged kittiwake North Shields and Marsden (nests, with eggs)","Europe","England","North Shields and Marsden","Black-legged kittiwake","Rissa tridactyla","Coulston and Thomas 1985 Figure 3",1968,96.08753,"nests, with eggs",NA
"Black-legged kittiwake North Shields and Marsden (nests, with eggs)","Europe","England","North Shields and Marsden","Black-legged kittiwake","Rissa tridactyla","Coulston and Thomas 1985 Figure 3",1969,89.990326,"nests, with eggs",NA
"Black-legged kittiwake North Shields and Marsden (nests, with eggs)","Europe","England","North Shields and Marsden","Black-legged kittiwake","Rissa tridactyla","Coulston and Thomas 1985 Figure 3",1970,98.165764,"nests, with eggs",NA
"Black-legged kittiwake North Shields and Marsden (nests, with eggs)","Europe","England","North Shields and Marsden","Black-legged kittiwake","Rissa tridactyla","Coulston and Thomas 1985 Figure 3",1971,83.80606,"nests, with eggs",NA
"Black-legged kittiwake North Shields and Marsden (nests, with eggs)","Europe","England","North Shields and Marsden","Black-legged kittiwake","Rissa tridactyla","Coulston and Thomas 1985 Figure 3",1972,86.34741,"nests, with eggs",NA
"Black-legged kittiwake North Shields and Marsden (nests, with eggs)","Europe","England","North Shields and Marsden","Black-legged kittiwake","Rissa tridactyla","Coulston and Thomas 1985 Figure 3",1973,79.12368,"nests, with eggs",NA
"Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","Black-legged kittiwake","Rissa tridactyla","Dunnet and Heubeck 1995 Table 7",1976,2126,"nests, max number occupied",NA
"Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","Black-legged kittiwake","Rissa tridactyla","Dunnet and Heubeck 1995 Table 7",1977,1883,"nests, max number occupied",NA
"Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","Black-legged kittiwake","Rissa tridactyla","Dunnet and Heubeck 1995 Table 7",1978,1914,"nests, max number occupied",NA
"Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","Black-legged kittiwake","Rissa tridactyla","Dunnet and Heubeck 1995 Table 7",1979,1746,"nests, max number occupied",NA
"Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","Black-legged kittiwake","Rissa tridactyla","Dunnet and Heubeck 1995 Table 7",1980,1840,"nests, max number occupied",NA
"Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","Black-legged kittiwake","Rissa tridactyla","Dunnet and Heubeck 1995 Table 7",1981,1704,"nests, max number occupied",NA
"Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","Black-legged kittiwake","Rissa tridactyla","Dunnet and Heubeck 1995 Table 7",1982,1613,"nests, max number occupied",NA
"Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","Black-legged kittiwake","Rissa tridactyla","Dunnet and Heubeck 1995 Table 7",1983,1548,"nests, max number occupied",NA
"Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","Black-legged kittiwake","Rissa tridactyla","Dunnet and Heubeck 1995 Table 7",1984,1384,"nests, max number occupied",NA
"Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","Black-legged kittiwake","Rissa tridactyla","Dunnet and Heubeck 1995 Table 7",1985,1270,"nests, max number occupied",NA
"Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","Black-legged kittiwake","Rissa tridactyla","Dunnet and Heubeck 1995 Table 7",1986,1269,"nests, max number occupied",NA
"Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","Black-legged kittiwake","Rissa tridactyla","Dunnet and Heubeck 1995 Table 7",1987,1632,"nests, max number occupied",NA
"Black-legged kittiwake Sumburgh, Troswick, Eshaness and Burravoe (nests, max number occupied)","Europe","Shetland Islands","Sumburgh, Troswick, Eshaness and Burravoe","Black-legged kittiwake","Rissa tridactyla","Dunnet and Heubeck 1995 Table 7",1988,1503,"nests, max number occupied",NA
"Black-legged kittiwake Vedoy (nests, occupied)","Europe","Norway","Vedoy","Black-legged kittiwake","Rissa tridactyla","Anker-Nilssen and Aarvak 2006",1979,24937.785,"nests, occupied",NA
